"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
RUSFAR;RUSFAR;2019-01-09;7,71;7,71;7,71;7,71;;;
RUSFAR;RUSFAR;2019-01-10;7,68;7,68;7,68;7,68;;;
RUSFAR;RUSFAR;2019-01-11;7,51;7,51;7,51;7,51;;;
RUSFAR;RUSFAR;2019-01-14;7,56;7,56;7,56;7,56;;;
RUSFAR;RUSFAR;2019-01-15;7,62;7,62;7,62;7,62;;;
RUSFAR;RUSFAR;2019-01-16;7,57;7,57;7,57;7,57;;;
RUSFAR;RUSFAR;2019-01-17;7,6;7,6;7,6;7,6;;;
RUSFAR;RUSFAR;2019-01-18;7,66;7,66;7,66;7,66;;;
RUSFAR;RUSFAR;2019-01-21;7,73;7,73;7,73;7,73;;;
RUSFAR;RUSFAR;2019-01-22;7,74;7,74;7,74;7,74;;;
RUSFAR;RUSFAR;2019-01-23;7,66;7,66;7,66;7,66;;;
RUSFAR;RUSFAR;2019-01-24;7,68;7,68;7,68;7,68;;;
RUSFAR;RUSFAR;2019-01-25;7,75;7,75;7,75;7,75;;;
RUSFAR;RUSFAR;2019-01-28;7,83;7,83;7,83;7,83;;;
RUSFAR;RUSFAR;2019-01-29;7,95;7,95;7,95;7,95;;;
RUSFAR;RUSFAR;2019-01-30;7,81;7,81;7,81;7,81;;;
RUSFAR;RUSFAR;2019-01-31;7,84;7,84;7,84;7,84;;;
RUSFAR;RUSFAR;2019-02-01;7,51;7,51;7,51;7,51;;;
RUSFAR;RUSFAR;2019-02-04;7,56;7,56;7,56;7,56;;;
RUSFAR;RUSFAR;2019-02-05;7,7;7,7;7,7;7,7;;;
RUSFAR;RUSFAR;2019-02-06;7,65;7,65;7,65;7,65;;;
RUSFAR;RUSFAR;2019-02-07;7,68;7,68;7,68;7,68;;;
RUSFAR;RUSFAR;2019-02-08;7,64;7,64;7,64;7,64;;;
RUSFAR;RUSFAR;2019-02-11;7,64;7,64;7,64;7,64;;;
RUSFAR;RUSFAR;2019-02-12;7,63;7,63;7,63;7,63;;;
RUSFAR;RUSFAR;2019-02-13;7,54;7,54;7,54;7,54;;;
RUSFAR;RUSFAR;2019-02-14;7,41;7,41;7,41;7,41;;;
RUSFAR;RUSFAR;2019-02-15;7,56;7,56;7,56;7,56;;;
RUSFAR;RUSFAR;2019-02-18;7,56;7,56;7,56;7,56;;;
RUSFAR;RUSFAR;2019-02-19;7,56;7,56;7,56;7,56;;;
RUSFAR;RUSFAR;2019-02-20;7,42;7,42;7,42;7,42;;;
RUSFAR;RUSFAR;2019-02-21;7,32;7,32;7,32;7,32;;;
RUSFAR;RUSFAR;2019-02-22;7,12;7,12;7,12;7,12;;;
RUSFAR;RUSFAR;2019-02-25;7,38;7,38;7,38;7,38;;;
RUSFAR;RUSFAR;2019-02-26;7,46;7,46;7,46;7,46;;;
RUSFAR;RUSFAR;2019-02-27;7,6;7,6;7,6;7,6;;;
RUSFAR;RUSFAR;2019-02-28;7,7;7,7;7,7;7,7;;;
RUSFAR;RUSFAR;2019-03-01;7,69;7,69;7,69;7,69;;;
RUSFAR;RUSFAR;2019-03-04;7,54;7,54;7,54;7,54;;;
RUSFAR;RUSFAR;2019-03-05;7,66;7,66;7,66;7,66;;;
RUSFAR;RUSFAR;2019-03-06;7,62;7,62;7,62;7,62;;;
RUSFAR;RUSFAR;2019-03-07;7,66;7,66;7,66;7,66;;;
RUSFAR;RUSFAR;2019-03-11;7,7;7,7;7,7;7,7;;;
RUSFAR;RUSFAR;2019-03-12;7,7;7,7;7,7;7,7;;;
RUSFAR;RUSFAR;2019-03-13;7,58;7,58;7,58;7,58;;;
RUSFAR;RUSFAR;2019-03-14;7,47;7,47;7,47;7,47;;;
RUSFAR;RUSFAR;2019-03-15;7,51;7,51;7,51;7,51;;;
RUSFAR;RUSFAR;2019-03-18;7,49;7,49;7,49;7,49;;;
RUSFAR;RUSFAR;2019-03-19;7,59;7,59;7,59;7,59;;;
RUSFAR;RUSFAR;2019-03-20;7,57;7,57;7,57;7,57;;;
RUSFAR;RUSFAR;2019-03-21;7,52;7,52;7,52;7,52;;;
RUSFAR;RUSFAR;2019-03-22;7,52;7,52;7,52;7,52;;;
RUSFAR;RUSFAR;2019-03-25;7,59;7,59;7,59;7,59;;;
RUSFAR;RUSFAR;2019-03-26;7,69;7,69;7,69;7,69;;;
RUSFAR;RUSFAR;2019-03-27;7,69;7,69;7,69;7,69;;;
RUSFAR;RUSFAR;2019-03-28;7,59;7,59;7,59;7,59;;;
RUSFAR;RUSFAR;2019-03-29;7,89;7,89;7,89;7,89;;;
RUSFAR;RUSFAR;2019-04-01;7,63;7,63;7,63;7,63;;;
RUSFAR;RUSFAR;2019-04-02;7,61;7,61;7,61;7,61;;;
RUSFAR;RUSFAR;2019-04-03;7,63;7,63;7,63;7,63;;;
RUSFAR;RUSFAR;2019-04-04;7,62;7,62;7,62;7,62;;;
RUSFAR;RUSFAR;2019-04-05;7,78;7,78;7,78;7,78;;;
RUSFAR;RUSFAR;2019-04-08;7,64;7,64;7,64;7,64;;;
RUSFAR;RUSFAR;2019-04-09;7,59;7,59;7,59;7,59;;;
RUSFAR;RUSFAR;2019-04-10;7,55;7,55;7,55;7,55;;;
RUSFAR;RUSFAR;2019-04-11;7,68;7,68;7,68;7,68;;;
RUSFAR;RUSFAR;2019-04-12;7,69;7,69;7,69;7,69;;;
RUSFAR;RUSFAR;2019-04-15;7,76;7,76;7,76;7,76;;;
RUSFAR;RUSFAR;2019-04-16;7,95;7,95;7,95;7,95;;;
RUSFAR;RUSFAR;2019-04-17;7,52;7,52;7,52;7,52;;;
RUSFAR;RUSFAR;2019-04-18;7,59;7,59;7,59;7,59;;;
RUSFAR;RUSFAR;2019-04-19;7,53;7,53;7,53;7,53;;;
RUSFAR;RUSFAR;2019-04-22;7,49;7,49;7,49;7,49;;;
RUSFAR;RUSFAR;2019-04-23;7,39;7,39;7,39;7,39;;;
